Age by year of birth and completed years of age,Legal marital status,Type of building,Census year,Territory,Data type,Gender,Age,0,Flags
"all items","total","all items","2011","Perugia","population aged 65 and over (percentage values)","females","65 years and over",57.99,
"all items","total","all items","2011","Bari","population aged 75 and over (percentage values)","females","75 years and over",60.92,
"all items","total","all items","2011","Reggio di Calabria","resident population (absolute values)","females","total",94232,
"all items","total","all items","2011","Bari","resident population (absolute values)","total","65 years and over",67349,
"all items","total","all items","2011","Ravenna","resident population (percentage values)","total","65 years and over",23.77,
"all items","total","all items","2011","Messina","resident population (absolute values)","total","65 years and over",48875,
"all items","total","all items","2011","Reggio di Calabria","resident population (percentage values)","total","until 5 years",5.48,
"all items","total","all items","2011","Firenze","sex ratio","total","total",86.45,
"all items","total","all items","2011","Roma","resident population (percentage values)","total","until 4 years",4.59,
"all items","total","all items","2011","Ravenna","resident population (absolute values)","total","total",153740,
"all items","total","all items","2011","Reggio di Calabria","resident population (percentage values)","total","85 years and over",2.57,
"all items","total","all items","2011","Bologna","resident population (percentage values)","total","75 years and over",14.62,
"all items","total","all items","2011","Ravenna","ageing index ","total","total",184.15,
"all items","total","all items","2011","Perugia","sex ratio","total","total",89.89,
"all items","total","all items","2011","Roma","resident population (absolute values)","females","until 4 years",58185,
"all items","total","all items","2011","Messina","resident population (percentage values)","total","until 4 years",4.31,
"all items","total","all items","2011","Palermo","dependency ratio ","total","total",48.58,
"all items","total","all items","2011","Reggio di Calabria","population aged 85 and over (percentage values)","females","85 years and over",68.71,
"all items","total","all items","2011","Napoli","population aged 75 and over (percentage values)","females","75 years and over",64.3,
"all items","total","all items","2011","Roma","resident population (percentage values)","total","75 years and over",10.69,
"all items","total","all items","2011","Perugia","dependency ratio ","total","total",56.02,
"all items","total","all items","2011","Livorno","resident population (absolute values)","total","65 years and over",39260,
"all items","total","all items","2011","Taranto","resident population (percentage values)","total","65 years and over",20.59,
